#,Title,Speaker,Year,Month,Session,URL
123,The True Church,LeGrand Richards,1972,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-true-church?lang=eng
124,Peace,Eldred G. Smith,1972,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/peace?lang=eng
125,Priesthood—Its Power and Vitality,A. Theodore Tuttle,1972,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/priesthood-its-power-and-vitality?lang=eng
126,Knowing God,Bernard P. Brockbank,1972,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/knowing-god?lang=eng
127,Medicine for the Soul,Sterling W. Sill,1972,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/medicine-for-the-soul?lang=eng
128,Whence Cometh Our Peace?,John H. Vandenberg,1972,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/whence-cometh-our-peace?lang=eng
129,A Prophet’s Blessing,Joseph Fielding Smith,1972,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-prophets-blessing?lang=eng
130,“May the Kingdom of God Go Forth”,Harold B. Lee,1972,10,Friday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/may-the-kingdom-of-god-go-forth?lang=eng
131,“I Know That My Redeemer Lives”,Bruce R. McConkie,1972,10,Friday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/i-know-that-my-redeemer-lives?lang=eng
132,Becoming a Somebody,John H. Vandenberg,1972,10,Friday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/becoming-a-somebody?lang=eng
133,"“We Thank Thee, O God, for a Prophet”",Spencer W. Kimball,1972,10,Friday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/we-thank-thee-o-god-for-a-prophet?lang=eng
134,What Is a Friend?,Marvin J. Ashton,1972,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/what-is-a-friend?lang=eng
135,Entrance into the Kingdom of God,Bernard P. Brockbank,1972,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/entrance-into-the-kingdom-of-god?lang=eng
136,Light and Knowledge to the World,Joseph Anderson,1972,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/light-and-knowledge-to-the-world?lang=eng
137,We Have Made Covenants with the Lord,ElRay L. Christiansen,1972,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/we-have-made-covenants-with-the-lord?lang=eng
138,Genealogy: A Personal Responsibility,Theodore M. Burton,1972,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/genealogy-a-personal-responsibility?lang=eng
139,Why Do Latter-day Saints Build Temples?,Eldred G. Smith,1972,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/why-do-latter-day-saints-build-temples?lang=eng
140,Listen to a Prophet’s Voice,Ezra Taft Benson,1972,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/listen-to-a-prophets-voice?lang=eng
141,Teach the Gospel of Salvation,Harold B. Lee,1972,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/teach-the-gospel-of-salvation?lang=eng
142,Spiritual Famine,Howard W. Hunter,1972,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/spiritual-famine?lang=eng
143,"Altar, Tent, Well",A. Theodore Tuttle,1972,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/altar-tent-well?lang=eng
144,"“By Love, Serve One Another”",Victor L. Brown,1972,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1972/10/by-love-serve-one-another?lang=eng
